,제목,장르,년도,줄거리,평점,연령 등급
43,인투 더 와일드,드라마,(2007),"대학을 우수한 성적으로 졸업한 크리스토퍼는 자신의 전 재산인 24,000불을 모두 국제 빈민구호단체에 기부하고 가족과의 연락을 끊은 채 여행을 떠난다. 그는 여행을 시작하면서 자신의 이름을 ‘알렉산더 슈퍼트램프’라 짓고 산과 계곡, 바다로 모험을 시작하며 히피족과 농부, 집시 커플, 가죽 세공인 등 여러 사람들을 만나 정신적 교감을 나눈다. 2년뒤, 유타주 산간 지역의 만년설 속에서 자신이 원한 최종 목적지인 알래스카로 떠나지 못하고 길을 잃은 채 갇혀 버리자, 자연에 묻혀 생활하면서 버려진 버스 안에 정착하게 된다. 하지만 도시와 인간문명에 익숙한 그의 몸은 야생에서 버텨내지를 못하는데…",8.1 (629k),15+
44,날씨의 아이,"로맨스, 드라마, 판타지, 가족, 애니메이션",(2019),"고등학교 1학년 여름. 외딴 섬에서 가출해, 도쿄에 온 호타카. 그러나 생활은 곧 곤란해졌고, 고독한 나날의 끝에 겨우 찾아낸 일은, 수상한 오컬트 잡지의 작가 일이었다. 그의 앞날을 시사하는 듯, 연일 쏟아지는 비. 그런 가운데, 잡담으로 북적거리는 도시 한 편에서, 호타카는 한 소녀를 만난다. 어떤 사연을 안고, 남동생과 둘이서 밝고 씩씩하게 사는 소녀, 하루나. 그녀에게는, 이상한 능력이 있었다. ""저기, 지금부터 맑아질 거야."" 조금씩 비가 그치고, 아름답게 빛나는 거리. 그것은 기도하는 것만으로, 하늘을 맑게 하는 힘이었다.",7.5 (44k),15+
45,포레스트 검프,"코미디, 드라마, 로맨스",(1994),"불편한 다리, 남들보다 조금 떨어지는 지능을 가진 포레스트 검프는 헌신적인 어머니의 보살핌과 첫사랑 제니와의 만남으로 편견과 괴롭힘 속에서도 따뜻한 마음을 지니고 성장한다. 또래들의 괴롭힘을 피해 도망치던 포레스트는 누구보다 빠르게 달릴 수 있는 자신의 재능을 깨닫는다. 그의 재능을 알아 본 대학에서 그를 미식축구 선수로 발탁하고, 졸업 후에도 뛰어난 신체능력으로 군에 들어가 무공훈장을 수여받는 등 탄탄한 인생 가도에 오르게 된 포레스트. 하지만 어머니가 병에 걸려 죽음을 맞이하고, 첫사랑 제니 역시 그의 곁을 떠나가며 다시 한 번 인생의 전환점을 맞이하게 되는데...",8.8 (2m),12+
46,이니셰린의 밴시,"드라마, 코미디",(2022),"아일랜드의 외딴 섬마을 이니셰린. 주민 모두가 인정하는 절친 파우릭과 콜름은 하루도 빠짐없이 함께 술을 마시며 수다를 떨 정도로 다정하고 돈독한 사이다. 어느 날, 돌연 파우릭에게 절교를 선언하는 콜름. 절교를 받아들일 수 없는 파우릭은 그를 찾아가 이유를 묻지만 돌아오는 건 변심한 친구의 차가운 한마디. 관계를 회복해 보려 할수록 상황은 더욱 악화되어 가기만 하고 평온했던 그들의 일상과 마을은 점점 파국으로 치닫는데…",7.8 (155k),15
47,쇼생크 탈출,드라마,(1994),"촉망받는 은행 간부 앤디 듀프레인은 아내와 그녀의 정부를 살해했다는 누명을 쓴다. 주변의 증언과 살해 현장의 그럴듯한 증거들로 그는 종신형을 선고받고 악질범들만 수용한다는 지옥같은 교도소 쇼생크로 향한다. 인간 말종 쓰레기들만 모인 그곳에서 그는 이루 말할 수 없는 억압과 짐승보다 못한 취급을 당한다. 그러던 어느 날, 간수의 세금을 면제받게 해 준 덕분에 그는 일약 교도소의 비공식 회계사로 일하게 된다. 그 와중에 교도소 소장은 죄수들을 이리저리 부리면서 검은 돈을 긁어 모으고 앤디는 이 돈을 세탁하여 불려주면서 그의 돈을 관리하는데...",9.3 (2m),15
48,조찬 클럽,"코미디, 드라마",(1985),"셔머 고등학교의 토요일 아침. 문제아들이 벌로 토요일에 등교하게 된다. 부모에게 늘 인정받지 못하고 무시당하자 불량배가 된 존(John Bender: 쥬드 넬슨 분), 승부에 집착하는 아버지(Andy's Father: 론 딘 분) 때문에 동료 선수를 괴롭힌 레슬링 선수 앤디(Andrew Clark: 에밀리오 에스테베즈 분), 성적 때문에 스트레스를 받다가 자살 기도까지 한 천재 브라이언(Brian Johnson: 안소니 마이클 홀 분), 부모의 주도권 다툼에 가정에서 만족을 얻지 못하고 사치와 낭비로 소일하는 부잣집 딸 클레어(Claire Standish: 몰리 링왈드 분), 부모의 주의를 끌기 위해 이상 성격을 나타내는 알리슨(Allison Reynolds: 앨리 쉬디 분) 등이 한 교실에 모인다. 담임인 버논 교사(Richard Vernon: 폴 글리슨 분)는 학생들에게 자기 자신에 대해 글짓기를 하라고 시킨다. 다섯명의 문제아들은 토요일 하루를 같은 교실에서 다투고 논쟁하고 화해하면서 꼭 닫았던 마음의 문을 열고 서로 좋은 친구가 된다. 고민거리는 서로 달랐지만 공통점은 가정의 불화와 부모의 기대에 대한 중압감이 원인이었음이 밝혀진다. 드디어 헤어질 시간. 이들은 '토요일의 아이들'이라는 제목으로 담임에게 편지를 남긴다. 교사가 편견을 갖고 한사람 한사람에게 문제아 딱지를 붙이는 것 그것이 바로 문제라는 것.",7.8 (407k),15
49,메멘토,스릴러,(2000),"전직 보험 수사관이었던 레너드에게 기억이란 없다. 자신의 아내가 강간당하고 살해되던 날의 충격으로 기억을 10분 이상 지속시키지 못하는 단기 기억상실증 환자가 되었던 것이다. 그가 마지막으로 기억하고 있는 것은 자신의 이름이 레너드 셸비 라는 것과 아내가 강간당하고 살해당했다는 것, 그리고 범인은 존 G 라는 것이 전부. 레너드는 자신의 가정을 파탄 낸 범인을 찾기 위한 방법으로 메모와 문신을 사용하게 된다. 하지만 진실에 다가갈수록 자신의 기억, 주위 사람들에 대한 의심이 갈수록 커져만 가는데...",8.4 (1m),15
50,프린세스 브라이드,"판타지, 로맨스, 코미디, 가족",(1987),"바람이 몹시 부는 추운 겨울밤, 감기에 걸려 누워있는 어린 소년에게 한 할아버지가 '프린세스 브라이드'라는 책을 읽어주면서 이야기는 시작된다. 환상의 플로린 나라엔 아름다운 소녀 버터컵(Buttercup: 로빈 라이트 분)이 살고 있다. 소녀는 마음 속으론 '분부시라면'이란 대답으로 무슨 일이든 들어주는 촌뜨기 일꾼 소년 웨스틀리(Westley: 캐리 엘위스 분)를 사랑하지만 곧 이웃 나라의 왕자 훔퍼딩크(Prince Humperdinck: 크리스 새런든 분)와 결혼하기로 돼 있다. 그러나 결혼식 직전에 전쟁 도발의 음모에 휩쓸려 세 악당에게 사로잡히게 된다. 이때 검은 복면의 남자가 나타나 세 악당과 차례로 결투해 버터컵을 구출한다. 그는 웨스틀리였다. 버터컵은 웨스틀리의 생명을 위해 어쩔 수 없이 왕자에게 돌아간다. 하지만 왕자는 약속을 어기고 웨스틀리를 죽이려하는데 웨스틀리와의 결투에 진 악당 이니고와 페직이 그를 위한 구출작전이 펼친다.",8.0 (432k),12+
51,견왕: 이누오,"드라마, 판타지, 역사, 음악, 애니메이션",(2022),"무로마치의 교토, 사루가쿠(무로마치 시대에 성행한 일본 전통 예능)의 일원으로 태어난 남들과는 다른 모습을 한 아이, ‘견왕’. 주위 사람들은 그를 멀리했고 그의 얼굴은 표주박 가면으로 가려졌다. 그러던 어느 날, 견왕은 타이라 가문의 저주로 장님이 된 비파법사 소년, ‘토모나’를 만나게 된다. 이름보다 먼저 노래와 춤을 주고받는 두 사람. 토모나는 비파의 줄을 튕기고 견왕은 발을 굴러 소리를 낸다. 한 순간에 펼쳐지는 두 사람만의 호흡, 두 사람만의 세계. “지금부터 시작하는 거야, 우리는!” 난세를 살아 내기 위해 벗이 된 두 사람은 서로의 재능을 꽃피우고 유일무이한 엔터테인먼트가 되어 사람들을 열광시킨다. 정상에 도달한 두 사람을 기다리고 있는 것은?",7.2 (1k),12+
52,RRR: 라이즈 로어 리볼트,"드라마, 액션",(2022),위험한 임무에 나선 용맹한 전사. 영국을 위해 일하는 냉혹한 경찰과 맞대결을 펼친다. 독립 이전의 인도를 배경으로 한 대서사극.,7.9 (138k),15
53,록 스탁 앤 투 스모킹 배럴즈,"범죄, 액션, 코미디",(1998),"베이컨(제이슨 스테덤), 소프(덱스터 플렛쳐), 톰(제이슨 플레밍)과 에디(닉 모란) 패거리는 포르노 거물 해리가 여는 포커판에 끼려는 에디에게 가진 돈을 모두 준다. 그러나 이길 줄 알았던 에디가 졌을 뿐만 아니라 해리에게 빚까지 지게 된다. 일주일 안에 돈을 갚지 않으면 손가락이 잘릴 위기에 처한 에디는 대마초 패거리를 털려는 덕의 계획을 알고 덕 일당의 돈을 뺏기로 한다. 덕 일당이 돈과 대마초를 털어오자 집에서 기다린 에디 일당이 돈과 대마초를 빼앗는다. 에디 일당은 해리에게 빚을 갚고 대마초를 팔아 돈을 챙기기만 하면 된다고 기뻐하지만...",8.2 (589k),12+
54,미션 임파서블: 폴아웃,"액션, 스릴러, Made in Europe",(2018),"에단 헌트는 세계를 위협하는 테러 조직 신디케이트의 수장 솔로몬 레인을 우여곡절 끝에 체포했지만, 그의 잔당들은 여전히 세계 각지에서 테러를 일삼는다. 에단 헌트와 그의 팀은 테러조직의 핵무기 소지를 막기 위해 미션에 착수한다. 에단 헌트는 작전 수행 중 예상치 못한 결단을 내리게 되고, 중앙정보국 CIA는 그를 견제하기 위해 상급 요원 어거스트 워커를 파견한다. 최악의 테러 위기와 라이벌의 출현 속, 팀이 행한 모든 선의의 선택들이 최악의 결과로 돌아오면서 미션은 점점 더 예측할 수 없는 상황으로 치닫게 되는데...",7.7 (340k),15
55,캐치 미 이프 유 캔,"드라마, 범죄",(2002),"1965년, FBI를 발칵 뒤집는 사건이 발생한다. 파일럿을 가장해 모든 비행기에 무임승차는 기본, 50개 주 은행을 순회하며 무려 140만 달러를 횡령한 희대의 사기꾼이 나타난 것. 21년 경력의 FBI 최고의 요원 칼 핸러티가 프랭크의 뒤를 쫓고, 드디어 프랭크의 호텔방을 덮친다. 하지만 칼과 마주친 프랭크는 정부 비밀요원으로 둔갑, 증거물을 챙긴다며 위조수표를 챙겨 들고 여유롭게 빠져나온다. 뒤늦게 자신이 속았음을 깨달은 칼은 자존심 회복을 결심한다. 그리고 마침내 찾은 프랭크의 가족. 하지만 자신을 속인 프랭크가 겨우 17살의 고등학생이라는 사실을 알게 되는데...",8.1 (1m),15
56,스파이,"액션, 범죄, 코미디",(2015),"현장 요원들의 임무 수행을 돕는 CIA의 내근 요원 수잔 쿠퍼(멜리사 맥카시). 외모, 임무 수행 등 완벽한 최고의 요원 브래들리 파인(주드 로)의 파트너로 임무를 수행을 하던 중, 핵무기 밀거래를 추진하는 마피아들에게 CIA 현장 요원들의 신분이 모두 노출되는 사건이 발생한다. 마피아들이 모르는 내근 요원 수잔은 CIA의 최대 위기를 극복하고 핵무기의 밀거래를 막기 위해 현장에 투입된다. 그러나, 그녀를 못 믿는 ‘자칭’ 최고의 요원 릭 포드(제이슨 스타뎀)가 그녀와 별개로 임무를 수행하면서 그녀의 미션은 위기에 직면하게 되는데…",7.0 (248k),15
57,잭 스나이더의 저스티스 리그,"액션, 판타지, SF, 드라마",(2021),"슈퍼맨이 죽고 지구에 어둠의 그림자가 드리운다. 마더박스를 차지하기 위해 빌런 스테픈울프가 파라데몬 군단을 이끌고 지구에 온 것이다. 지구를 지키기 위해 목숨을 바친 슈퍼맨의 희생이 헛되지 않도록 하기 위해 브루스 웨인은 다이애나 프린스와 적에 맞서기로 한다. 배트맨과 원더 우먼은 새로이 등장한 위협에 맞서 싸우기 위해 특별한 능력을 가진 메타휴먼, 아쿠아맨과 사이보그, 플래시를 찾아가 설득하여 힘을 합친다. 드디어 한 팀이 된 저스티스 리그. 혹시 스테픈울프와 데사드 그리고 다크사이드를 물리치기에 너무 늦어버린 것이 아닐까?",8.0 (405k),12+
58,이터널 선샤인,"드라마, SF, 로맨스",(2004),"조엘은 아픈 기억만을 지워준다는 라쿠나사를 찾아가 헤어진 연인 클레멘타인의 기억을 지우기로 결심한다. 기억이 사라져 갈수록 조엘은 사랑이 시작되던 순간, 행복한 기억들, 가슴 속에 각인된 추억들을 지우기 싫어지기만 하는데... 당신을 지우면 이 아픔도 사라질까요? 사랑은 그렇게 다시 기억된다.",8.3 (1m),15
59,La vocera,다큐멘터리,(2021),"A healer chosen to heal an ailing country. The Spokeswoman (La Vocera), the one who carries our voices is Maria de Jesús Patricio, the first indigenous woman to aspire to the presidency in Mexico. Her journey also tells the story behind the Indigenous Government Council's fight to preserve nature and for a new way of understanding progress in the world today.",7.1,12+
60,신의 구부러진 선,"드라마, 스릴러",(2022),편집증에 시달린다며 정신병원에 입원하는 사립 탐정. 사실 그녀의 목적은 다른 환자의 미스터리한 죽음을 파헤치는 것이다.,7.0 (14k),15
61,설리: 허드슨강의 기적,드라마,(2016),탑승객 155명을 태운 1549편 여객기를 조종하여 이륙하던 설리 기장은 충분한 고도를 확보하지 못한 상황에서 새들과 충돌하여 양쪽 엔진을 모두 잃고 만다. 절체절명의 순간 설리 기장은 주어진 208초의 시간 동안 위험을 무릅쓰고 850미터 상공에서 허드슨강으로의 수상 착륙을 시도한다.,7.4 (278k),12+
62,헬프,드라마,(2011),"1963년, 미국 남부 미시시피 잭슨 흑인 가정부는 백인 주인과 화장실도 같이 쓸 수 없다?! 아무도 가정부의 삶에 대해 묻지 않았다. 그녀가 책을 쓰기 전까지는… 돈 많은 남자와 결혼해 정원과 가정부가 딸린 집의 안주인이 되는 게 최고의 삶이라 여기는 친구들과 달리 대학 졸업 후 작가의 꿈을 이루기 위해 지역 신문사에 취직한 ‘스키터(엠마 스톤)’. 살림 정보 칼럼의 대필을 맡게 된 그녀는 베테랑 가정부 ‘에이빌린(바이올라 데이비스)’에게 도움을 요청한다. 다른 인생은 꿈꿔보지도 못한 채 가정부가 되어 17명의 백인 아이를 헌신적으로 돌봤지만 정작 자신의 아들은 사고로 잃은 ‘에이빌린’. ‘스키터’에게 살림 노하우를 알려주던 그녀는 어느 누구도 관심 갖지 않았던 자신과 흑인 가정부들의 인생을 책으로 써보자는 위험한 제안을 받는다. 때 마침 주인집의 화장실을 썼다는 황당한 이유로 쫓겨난 가정부 ‘미니(옥타비아 스펜서)’가 두 여자의 아슬아슬하지만 유쾌한 반란에 합류한다. 차별과 불만을 이야기 하는 것조차 불법이 되고 생명을 위협받는 일이 되는 시대에, 태어나 처음으로 누군가에게 자신들의 이야기를 털어 놓기 시작하는 ‘에이빌린’과 ‘미니’. 그녀들의 용기 있는 고백은 세상을 발칵 뒤집을 만한 책을 탄생시키는데…",8.1 (466k),12+
63,돈 룩 업,"코미디, 드라마, SF",(2021),천문학과 대학원생 케이트 디비아스키(제니퍼 로렌스)와 담당 교수 랜들 민디 박사(레오나르도 디카프리오)는 태양계 내의 궤도를 돌고 있는 혜성이 지구와 직접 충돌하는 궤도에 들어섰다는 엄청난 사실을 발견한다. 하지만 지구를 파괴할 에베레스트 크기의 혜성이 다가온다는 불편한 소식에 아무도 신경 쓰지 않는다. 지구를 멸망으로 이끌지도 모르는 소식을 사람들에게 알리기 위해 언론 투어에 나선 두 사람. 혜성 충돌에 무관심한 대통령 올리언(메릴 스트립)과 그녀의 아들이자 비서실장 제이슨(조나 힐)의 집무실을 시작으로 브리(케이트 블란쳇)와 잭(타일러 페리)이 진행하는 인기 프로그램 출연까지 이어가지만 성과가 없다. 혜성 충돌까지 남은 시간은 단 6개월. 24시간 내내 뉴스와 정보는 쏟아지고 사람들은 소셜미디어에 푹 빠져있는 시대이지만 정작 이 중요한 뉴스는 대중의 주의를 끌지 못하는데...,7.2 (548k),15
64,리커리시 피자,"코미디, 드라마, 로맨스",(2021),"무엇이든 될 수 있을 것 같고 아무것도 될 수 없을 것 같은 사랑에 빠진 소년 개리와 불안한 20대를 지나고 있는 알라나. 1973년 어느 찬란한 여름날, 청춘의 한복판으로 달려가는 그들의 이야기",7.2 (122k),15
65,스쿨 오브 락,"코미디, 다큐멘터리, 음악, Made in Europe",(2003),"락 밴드 단원인 듀이 핀 (잭 블랙 분)은 로커 답지 않게 뚱뚱하고 촌스러운 외모 때문에 밴드에서 쫒겨 난다. 월세까지 밀리자, 그는 급한 김에 친구 네드의 이름을 사칭하고, 호레이스 그린 초등학교의 대리교사로 취직한다. 수업 첫날부터, 공부를 가르칠 생각은 않고 시간 때울 궁리만 하던 듀이는 기발하고 엉뚱한 생각을 하게 되는데 앞으로 열릴 락 밴드 경연대회에 자기가 가르치는 학생들과 함께 참석하려는 것! 클래식기타와 피아노, 첼로, 심벌즈 등의 악기를 다뤄본 애들을 뽑아, 리드 기타, 베이스 기타, 키보드, 드럼을 가르치고, 다른 아이들에겐 백 보컬, 매니저, 코디, 장비 담당 등의 일을 맡긴다. 3주동안, 듀이와 아이들은 여자 교장 멀린스 (조안 쿠삭 분)의 눈을 피해 교실에서 락 음악을 연습하고, 드디어 오디션 접수까지 끝낸다. 마침내, 경연대회가 있던 날, 듀이가 가짜 선생임을 알게 된 학부모들은 멀린스 교장을 앞세우고 대회장으로 쳐들어 오는데.",7.2 (312k),15
66,라스트 나잇 인 소호,"공포, 스릴러, 드라마",(2021),"패션 디자이너의 꿈을 안고 런던 소호로 온 엘리(토마신 맥켄지)는 매일 밤 꿈에서 1960년대 소호의 매혹적인 가수 샌디(안야 테일러조이)를 만나게 되고, 그녀에게 매료된다. 엘리는 샌디에게 화려한 삶이 펼쳐질 것이라 생각했지만 꿈은 점점 악몽이 되어가고 샌디는 누군가에게 살해당하고 만다. 유일한 목격자가 된 엘리, 샌디를 죽인 범인은 엘리의 시간 속에 살고 있다.",7.0 (145k),15
67,타락천사,"액션, 드라마, 로맨스, 코미디, 범죄",(1995),"기억상실증에 걸린 청부살인업자 황지명은 창녀인 동업자 가흔 외엔 아무 연고가 없는 고독한 킬러였고 가흔은 동업자인 이 킬러에게 사랑을 느끼게 된다. 황지명은 완벽한 사업을 위해선 사적인 감정이 개입되어선 안된다는 생각에 가흔과 만나는 걸 철저히 피했다. 하지만 가흔은 그런 황지명을 그리며, 일방적인 사랑의 감정을 가슴에 묻어둔다. 다섯살때 말을 잃게 된 하지무는 하나뿐인 가족인 아버지를 모시고 친구도 직장도 없이 살아가던 중 남의 가게에 숨어들어가 폭력적인 방법으로 장사를 한다. 사랑이란 걸 몰랐던 그에게 어느 날 실연당한 여인 챨리를 만나 왠지 모를 사랑의 감정을 싹틔운다. 황지명은 의식적으로 가흔을 피하기 위해 낯선 창녀에게 몸을 맡기고 가흔과의 동업을 끝내려고 한다. 가흔은 사랑하는 이를 보내는 아쉬움에 마지막 일을 부탁하는데 그것은 가흔이 또 다른 살인청부업자에게 자신을 배신한 황지명을 살해하기 위한 앙갚음이었다. 하지무 역시 첫사랑인 챨리로부터 배신당한 아픔을 뒤로한 채 일본인이 경영하는 식당에서 일하면서 새로운 삶을 개척해 나가려 한다.",7.6 (42k),15
68,소셜 네트워크,드라마,(2010),"2003년 가을, 하버드대의 컴퓨터 천재 마크는 비밀 엘리트 클럽의 윈클보스 형제에게 하버드 선남선녀들만 교류할 수 있는 하버드 커넥션 사이트 제작을 의뢰 받는다. 하지만 여기서 획기적인 아이디어를 생각해낸 마크는 인맥 교류 사이트 페이스북을 개발, 절친 왈도의 도움으로 사이트를 오픈한다. 페이스북은 순식간에 모두의 마음을 사로잡고, 유명한 냅스터의 창시자 숀의 참여로 전세계로 번지면서 마크는 기업가치 58조원, 전세계 최연소 억만장자가 된다. 하지만 그 순간 윈클보스 형제는 물론 왈도마저 전대미문의 소송을 제기하는데...",7.8 (714k),15
69,Official Competition,"코미디, 드라마, 스릴러",(2022),"가진 것 없이 맨손으로 시작해 자수성가한 억만장자. 세상의 모든 부귀영화를 누리지만 명성에 목마른 그는 80세 생일 기념으로, ‘훌륭한 영화’를 만들라고 지시한다. 노벨문학상 판권을 돈으로 사버리고 전 세계 영화제를 휩쓴 경력을 지닌 ‘롤라 쿠에바스’를 감독으로 기용한다. 천재 감독으로 불리지만 괴짜 기질이 있다고 알려진 ‘롤라 쿠에바스’ 감독은, 자신이 연출할 영화에 연기 거장 ‘이반 토레스’와 월드 스타 ‘펠릭스 리베로’를 캐스팅한다. 넘쳐흐르는 제작비로 최고의 원작, 최고의 감독, 최고의 배우가 뭉치고, 지상 최대의 걸작 만들기 프로젝트가 시작된다!",7.1 (11k),15
70,500일의 썸머,"코미디, 드라마, 로맨스",(2009),"자신의 인생을 바꿔줄 운명적인 사랑이 나타날 것이라 믿는 순수청년 톰. 어느 날 사장의 새로운 비서로 나타난 썸머를 처음 보는 순간 강렬한 스파크를 일으키며 자신의 반쪽임을 직감한다. 이후 대책없이 썸머에게 빠져드는 톰. 그녀에게 접근하기 위한 부단한 노력에도 불구하고 사랑도 남자친구도 눈꼽만큼도 믿지 않고 구속받기 싫어하는 썸머로 인해 그냥 친구 사이로 지내기로 하지만, 둘의 사이는 점점 그 이상의 관계로 발전하게 된다. 그녀를 천생연분이라 확신하는 톰. 이제 둘 관계의 변화를 위한 선택이 필요한 순간이 다가오는데...",7.7 (524k),15
71,라이언 일병 구하기,"드라마, 전쟁",(1998),1944년 6월 6일 노르망디 상륙 작전. 오마하 해변에 대기하고 있던 병사들은 한치 앞도 내다볼 수 없는 긴장된 상황에 두려움을 감출 수 없다. 노르망디 해변을 응시하는 밀러 대위와 가장 어려운 임무를 수행해야할 두려움에 지친 그의 대원들. 몇 번의 죽을 고비를 넘기고 맡은 바 임무를 완수하지만 3형제가 전사하고 적진에서 실종된 유일한 생존자인 막내 라이언 일병을 위한 미 행정부의 특별한 임무를 맡게 된다.단 한명의 목숨을 구하기 위해 여덟 명이 위험을 감수해야할 상황에서 대원들은 과연 라이언 일병 한 명의 생명이 그들 여덟 명의 생명보다 더 가치가 있는 것인지 끊임없는 혼란에 빠지는데...,8.6 (1m),15
72,블랙 호크 다운,"액션, 드라마, 역사, 전쟁",(2002),"UN 평화유지작전의 일환으로 1993년 동아프리카 소말리아의 수도 모가디슈에 파견된 최정예 미군 부대원들이 소말리아 민병대에 의해 공습당하면서 19명의 사상자를 낸다. 당시 소말리아에는 UN이 제공하는 구호식량을 착취할 목적으로 동포를 굶어 죽이는 민병대장이 전횡을 휘두르고 있었고, UN은 정예부대를 파견해 민병대장의 두 최고 부하를 납치하려다 실패한다. 무적의 전투헬기 블랙 호크 슈퍼 61과 블랙 호크 슈퍼 64가 소말리아 민병대에 의해 격추당하고, 제임스 장군은 단 한명의 생존자도, 단 한점의 살점도 남기지 말라고 명령, 최후의 순간까지 자존심을 건 전투를 펼치는데...",7.7 (402k),15
73,시카리오: 데이 오브 솔다도,"드라마, 스릴러, 액션, 범죄",(2018),멕시코 마약 카르텔이 마약 대신 새로운 사업 모델인 불법 밀입국에 집중하면서 또 다른 문제가 불거진다. 불법 밀입국자들 속에 테러리스트들이 섞여 들어와서 폭탄 테러를 자행하자 미국은 전면전을 개시한다. 명령을 하달받은 CIA 작전 책임자 맷은 알레한드로와 함께 마약 카르텔끼리 전쟁을 붙이고자 한다. 가족의 복수를 위해 다시 칼을 빼든 알레한드로는 카르텔 보스 레예스의 딸 이사벨라를 납치해 경쟁 카르텔 한복판에 떨어뜨리려 하지만 작전이 꼬이면서 위기에 처한다.,7.0 (152k),15
74,부산행,"공포, 스릴러, 액션",(2016),"별거 중인 펀드 매니저 석우는 소원해진 딸 수안의 생일 소원을 들어주기 위해 아내가 있는 부산행 KTX에 오른다. 이내 열차는 좀비의 침투와 감염으로 아수라장으로 변하고, 전국적 재난 뉴스를 차내에서 접한 승객들의 생존가능성은 유일하게 초기 대응에 성공한 도시 부산까지 살아남은 채 도착할 수 있느냐에 달리게 된다. 열차에 몸을 실은 석우와 딸 수안, 상화와 성경 커플, 고등학생 영국, 진희, 그리고 노숙자와 중년의 비즈니스맨 용석은 감염된 사람들의 공격을 피해 열차 안에서 사투를 벌인다.",7.6 (229k),15
75,도니 다코,"드라마, 판타지, SF, 스릴러",(2001),"1988년, 어딘가 암울하고 삐딱하게 보이는 고교생 도니 다코는 가족들과도 잘 어울리지 못하는 내성적인 성격의 소년이다. 어느 날, 자고 있던 그는 이상한 목소리를 따라 정원으로 나가게 되고, 그 곳에서 거대한 토끼 괴물을 만난다. 프랭크라는 이름을 가진 그는 도니에게 28일 6시간 43분 12초 후 할로윈 데이에 세상은 멸망할 것이라고 말한다. 다음날 아침 골프장에 누워 있다 잠을 깬 도니는 자신의 팔뚝에 선명하게 쓰여진 '28:06:43:12'라는 숫자를 발견한다. 집으로 돌아간 도니는 지난 밤 2층에 있는 자신의 침실에 출처 불명의 제트기 엔진이 추락하는 대형 사고가 있었음을 알고 프랭크의 존재에 대해 의식하기 시작한다. 의문의 대형사고를 몽유병 덕에 피한 도니의 주변에는 점점 기괴한 사건이 연발하고, 학교 친구들은 그런 도니를 이상한 존재로 여긴다. 그러던 어느 날 새로운 전학생 그레첸이 전학 오면서 도니의 학창 생활에 빛이 비치기 시작한다. 그러나 밤에만 나타나던 프랭크는 파멸의 날이 하루하루 다가올수록 점점 더 자주 도니에게 나타나 알 수 없는 말들을 늘어놓으며 도니를 혼란시킨다. 파멸의 날이 다가올수록 학교와 마을은 점점 공황 상태에 빠지고, 어느 순간 도니는 자신의 주위에 일어나는 이 모든 일이 우연이 아님을 깨닫는다. 그러나 도니의 갖은 노력에도 불구하고 그와 그 주위에 있는 사람들은 점점 암흑 속으로 빠져드는데...",8.0 (811k),15
76,폴아웃,드라마,(2022),"베이다는 학교에서 일어난 비극적인 사건을 계기로 가족과 친구, 세상과의 관계를 새롭게 바라보게 된다. 가족과 보냈던 시간들에서 한발짝 떨어져 친구 미아와 함께 시간을 보내며 서서히 새롭게 자신을 정립하고, 지금까지와는 다른 방향으로 자신의 삶을 이끌어 줄 모험들을 하기 시작하는데…",7.0 (25k),15+
77,사랑의 블랙홀,"로맨스, 드라마, 코미디, 판타지",(1993),"잘나가는 기상 캐스터 필 코너스는 매해 펑서토니에서 열리는 성촉절 취재를 위해 촬영을 나갔다가 이상한 경험을 하게된다. 취재를 건성으로 끝내고 돌아가려는데 기상 예보에도 없었던 폭설을 만나 발이 묶이게 되고, 다음날 일어났더니 날짜가 하루 지난 것이 아닌 바로 어제의 그날, 그 장소였던 것이다. 어제와 똑같은 오늘이 반복되자 필 코너스는 매일 매일을 관찰하여 여자를 꼬시기도 하고, 금고 수송 차량을 털어 멋진차를 사기도 한다. 하지만 반복되는 나날들에 환멸을 느끼게 되고 결국 자살을 시도하지만 여전히 일어나면 바로 어제의 그 시간, 그 장소로 돌아간다. 그런 가운데 그는 함께 온 신임 프로듀서 리타의 착하고 순수한 마음을 알게되고, 그녀를 진심으로 사랑하게 된다. 매일 그녀의 생각과 행동들을 익히게 되고, 그녀의 마음을 얻으려하지만 하루만에 이루어지지 않는 사랑도 있는 법, 필 코너스는 언제까지 같은 시간 같은 장소에 묶여있게 될까?",8.1 (643k),15
78,다이 하드,"액션, 스릴러",(1988),"뉴욕 경찰관 존 맥클레인(브루스 윌리스)은 떨어져 사는 아내 홀리 (보니 델리아)를 만나기 위해 LA의 나카도미 빌딩으로 찾아간다. 그러나 파티가 한창 무르익을 무렵, 한스 그루버(알란 릭맨)가 이끄는 일단의 테러리스트들이 침입, 사장을 비롯한 파티 참석자 30여 명을 인질로 삼고 건물 금고에 소장하고 있는 돈과 보물을 손에 넣으려 한다. 최첨단 하이테크에 의해 관리되던 34층짜리 나카토미 빌딩은 통채로 테러리스트들의 수중으로 넘어가 폐쇄되고 고층 빌딩은 살벌한 생존 게임의 전쟁터로 변해가는데...",8.2 (893k),15
